cls,n,m,p,S,seed,obj,bound,gap_pct,time,lp_time,optimal,obj_heur,time_heur,obj_ratio,speedup,heur_gap_pct
medium,200,100,15,10,205,61201.0,61201.0,0.0,0.02249765396118164,0.014757394790649414,True,72811,0.0019516944885253906,1.1897027826342708,11.527241632054727,18.97027826342707
medium,200,100,15,10,206,74223.0,74008.85719639201,0.2885127300270654,0.07782912254333496,0.015048980712890625,True,79097,0.0019981861114501953,1.065666976543659,38.94988664837132,6.566697654365897
medium,200,100,15,10,207,70620.0,69392.0,1.7388841687907108,0.07380151748657227,0.015341520309448242,True,84938,0.0019414424896240234,1.2027470971396206,38.01375414466413,20.27470971396205
medium,200,100,15,10,208,59414.0,57733.66671319,2.8281773434039064,0.07703804969787598,0.015547752380371094,True,83793,0.0020515918731689453,1.4103241660214765,37.55037768739105,41.03241660214764
medium,200,100,15,10,209,62093.0,59547.5,4.099495917414202,0.11554145812988281,0.018385648727416992,True,67213,0.002043485641479492,1.0824569597217077,56.5413604013534,8.245695972170775
large,500,250,25,8,300,171751.0,166323.28545712997,3.160222963982761,3.765211343765259,0.06561279296875,True,255815,0.012995719909667969,1.4894527542779954,289.72703089454757,48.945275427799544
large,500,250,25,8,301,126661.0,123958.86694047,2.1333583814512718,0.49049949645996094,0.12629151344299316,True,161442,0.01308441162109375,1.2745991268030412,37.48731778425656,27.459912680304118
large,500,250,25,8,302,164051.0,162319.7996209701,1.0552818203058232,0.2728433609008789,0.061495065689086914,True,267073,0.014010429382324219,1.6279876379906248,19.47430399564359,62.798763799062485
large,500,250,25,8,303,182834.0,179148.43256412997,2.015799816155657,0.7144179344177246,0.061454057693481445,True,250732,0.01457524299621582,1.371364188280079,49.01585068620876,37.13641882800792
large,500,250,25,8,304,173037.0,172572.5,0.268439697868086,0.4070136547088623,0.06449699401855469,True,193357,0.012719154357910156,1.117431531984489,32.0000562345355,11.743153198448887
large,500,250,25,8,305,180431.0,176208.42789191997,2.340269747482433,2.4850454330444336,0.06561779975891113,True,217403,0.012358427047729492,1.2049093559310762,201.0810456255426,20.490935593107615
large,500,250,25,8,306,158619.0,156534.99999999997,1.3138400822095897,0.38609981536865234,0.060083627700805664,True,182079,0.012559652328491211,1.147901575473304,30.741282104823554,14.790157547330395
large,500,250,25,8,307,162396.0,162396.0,0.0,0.0998377799987793,0.06529879570007324,True,208121,0.013091087341308594,1.2815648168674105,7.6263932396007865,28.156481686741053
large,500,250,25,8,308,131936.0,128660.36388124,2.482746269979382,0.4980885982513428,0.060770511627197266,True,161160,0.013382673263549805,1.2215013339801115,37.218916463273416,22.150133398011157
large,500,250,25,8,309,182846.0,180301.71999999997,1.3914879187950668,1.0011415481567383,0.06183338165283203,True,213244,0.012301445007324219,1.1662491933102173,81.38406077990543,16.624919331021733
xl,1000,500,50,6,400,332806.0,330343.40022643097,0.7399505338152054,3.3471767902374268,0.17856121063232422,True,390693,0.06463241577148438,1.1739361670162196,51.787895443546006,17.393616701621966
xl,1000,500,50,6,401,367944.0,367307.54553084006,0.17297590643139826,0.776911735534668,0.17249226570129395,True,468513,0.05928754806518555,1.2733269193138086,13.104129971448105,27.33269193138086
xl,1000,500,50,6,402,320230.0,318240.33302979,0.6213243513131109,1.9609732627868652,0.17632174491882324,True,339063,0.07625865936279297,1.0588108546981856,25.714761827345146,5.881085469818568
xl,1000,500,50,6,403,394888.0,393051.0000000001,0.4651951945867901,2.3882155418395996,0.21017956733703613,True,460343,0.05998682975769043,1.1657558598893865,39.812331331502406,16.575585988938634
xl,1000,500,50,6,404,373172.0,372331.45469891996,0.22524340011577532,1.4902291297912598,0.18534326553344727,True,439765,0.0595858097076416,1.1784512235644689,25.0097990965145,17.845122356446893
xl,1000,500,50,6,405,347184.0,336571.19017818,3.0568257240598653,3.0767369270324707,0.18237900733947754,True,494415,0.0624547004699707,1.4240719618415596,49.26349664444903,42.40719618415595
xl,1000,500,50,6,406,331567.0,330786.15354339994,0.23550186134327664,1.1106736660003662,0.17895293235778809,True,459567,0.059610843658447266,1.3860456559307772,18.632074264276515,38.604565593077716
xxl,2000,1000,100,5,500,760809.0,755725.8002528446,0.6681308642715085,10.180303812026978,0.826460599899292,True,1016821,0.3303055763244629,1.3364996996618073,30.820865712623483,33.649969966180734
xxl,2000,1000,100,5,501,804288.0,800208.333476784,0.5072395116197113,9.08396291732788,0.8468966484069824,True,1135569,0.3473837375640869,1.4118935008355216,26.149649321600815,41.18935008355216
xxl,2000,1000,100,5,502,773417.0,769200.3159605002,0.5452018819730938,36.22860813140869,0.7912423610687256,True,1010975,0.33284449577331543,1.3071538380976886,108.84544762333181,30.715383809768856
xxl,2000,1000,100,5,503,870781.0,867743.4000000001,0.3488362745627041,7.1095240116119385,0.8764450550079346,True,1088302,0.3526315689086914,1.249799892280608,20.16133732329802,24.979989228060788
xxl,2000,1000,100,5,504,852229.0,851973.3528744498,0.029997468468005255,5.16657567024231,1.0096158981323242,True,1104926,0.32756829261779785,1.2965130264283427,15.772514576893432,29.651302642834263
huge,3000,1500,150,4,600,1222062.0,1205742.570316319,1.3354011239757977,33.22981858253479,2.081838369369507,True,1472181,1.0392546653747559,1.204669648512105,31.974663852533293,20.466964851210495
huge,3000,1500,150,4,601,1132824.0,1130244.6040861295,0.2276960864062325,13.625653743743896,1.4949240684509277,True,1417074,0.7859055995941162,1.2509215906442661,17.337519608946565,25.0921590644266
huge,3000,1500,150,4,602,1201887.0,1201246.6667521899,0.05327732539000227,20.240938663482666,1.5224730968475342,True,1455437,0.7917675971984863,1.2109599321733242,25.564242253789168,21.09599321733241
huge,3000,1500,150,4,603,1320831.0,1318151.7383544561,0.2028466658901748,26.99099898338318,1.520183801651001,True,1642458,0.7940020561218262,1.2435035216465997,33.993613461426435,24.350352164659974
huge,3000,1500,150,4,604,1171466.0,1169416.8320220402,0.17492338471281701,8.259787797927856,1.8917620182037354,True,1436983,0.7931349277496338,1.2266536117992328,10.414101698135271,22.665361179923277
